Nome,Empresa/Autor,Categoria,Classe,Open Source,Licenca,Entrega,Web Scan,API Scan,Cloud/K8s,CLI,CI/CD,Auth avancada,Status,Ano,Link,Observacoes
Black Duck Defensics,Black Duck (ex-Synopsys),Fuzzer de protocolo,Enterprise,N,Comercial,On-prem,P,S,N,S,P,N,Ativo,2001 (Codenomicon),https://www.blackduck.com/fuzz-testing.html,250+ suites de protocolo; usado em telecom/IoT/automotivo
ImmuniWeb On-Demand / Discovery,ImmuniWeb (ex-High-Tech Bridge),DAST + AI + pentest,Enterprise,N,Comercial,SaaS,S,S,P,P,S,S,Ativo,2015,https://www.immuniweb.com/,Combina scanner + analise humana; free tools publicas
Detectify,Detectify,EASM + App Scanning,Startup/Scale-up,N,Comercial,SaaS,S,P,N,S,S,P,Ativo,2013,https://detectify.com/,Payloads da Crowdsource; forte em superficie externa
Indusface WAS / AppTrana,Indusface,DAST + WAF,Enterprise,N,Comercial,SaaS,S,S,N,S,S,S,Ativo,2004,https://www.indusface.com/,Scanner + WAF gerenciado (virtual patching)
Holm Security VMP (Web App Scanning),Holm Security,VA + web scanning,Enterprise,N,Comercial,SaaS,S,P,P,S,S,P,Ativo,2015,https://www.holmsecurity.com/,Plataforma nordica de VM com modulo web
Digifort Inspect,Digifort,DAST,Comercial,N,Comercial,SaaS,S,?,N,?,?,?,Incerto,?,https://www.digifort.com.br/,Listado no diretorio OWASP; validar disponibilidade
Vex,UBsecure (Japao),DAST,Comercial,N,Comercial,On-prem,S,P,N,P,P,S,Ativo,2007,https://www.ubsecure.jp/vex,Lider de mercado no Japao; pouca presenca ocidental
SecPoint Penetrator,SecPoint (Dinamarca),VA + web scan appliance,Comercial,N,Comercial,Appliance,S,P,N,P,N,P,Ativo,2000s,https://www.secpoint.com/,Appliance de VA com modulo web
DefenseCode Web Security Scanner,DefenseCode (Croacia),DAST,Comercial,N,Comercial,On-prem,S,P,N,P,P,P,Incerto,2010s,https://www.defensecode.com/,Complementa o ThunderScan (SAST)
SmartScanner,SmartScanner,DAST desktop,Comercial,N,Comercial (free tier),Desktop,S,P,N,S,P,S,Ativo,2019,https://www.thesmartscanner.com/,"Windows desktop, licenca acessivel"
Abbey Scan (MisterScanner),MisterScanner,DAST SaaS,Comercial,N,Comercial,SaaS,S,N,N,N,P,P,Incerto,2010s,https://misterscanner.com/,Scanner de nicho listado pela OWASP
HostedScan Security,HostedScan,VA/DAST gerenciado (OSS por baixo),Startup,N,Comercial (free tier),SaaS,S,P,N,P,S,P,Ativo,2019,https://hostedscan.com/,Orquestra OpenVAS/ZAP/Nmap/Nuclei em SaaS
ScanRepeat,Ventures CDX,DAST SaaS,Startup,N,Comercial,SaaS,S,P,N,P,S,P,Incerto,2019,https://scanrepeat.com/,Baseado em ZAP
ScanTitan,ScanTitan,DAST SaaS,Startup,N,Comercial,SaaS,S,P,N,?,?,?,Incerto,2010s,https://www.scantitan.com/,Nicho
Security For Everyone (s4e),Security For Everyone,Scanners agregados,Startup,P,Freemium,SaaS,S,P,N,S,S,N,Ativo,2020,https://securityforeveryone.com/,Marketplace de 100+ scanners rapidos; parte OSS
ReconwithMe,Nassec,DAST SaaS,Startup,N,Comercial,SaaS,S,P,N,?,P,P,Incerto,2020,https://reconwithme.com/,"Nicho, listado OWASP"
IOTHREAT,IOTHREAT,Scan para startups,Startup,N,Comercial,SaaS,S,N,N,N,P,N,Incerto,2021,https://iothreat.com/,Compliance-oriented
Securus,Orvant,DAST,Comercial,N,Comercial,SaaS,S,?,N,?,?,?,Incerto,?,https://www.orvant.com/,Listado OWASP; validar
WebScanService,German Web Security,DAST gerenciado,Comercial,N,Comercial,Servico,S,N,N,N,N,P,Incerto,?,https://www.webscanservice.de/,Servico alemao
Cyberant Website Security Check,Cyberant,Scan pontual,Comercial,N,Comercial,SaaS,S,N,N,N,N,N,Incerto,?,https://cyberant.com/,Nicho
CloudDefense.ai,CloudDefense,CNAPP com DAST,Startup,N,Comercial,SaaS,S,S,S,S,S,P,Ativo,2020,https://www.clouddefense.ai/,DAST dentro de plataforma CNAPP
Aikido Security (DAST/Surface Monitoring),Aikido,ASPM/CNAPP com DAST,Startup,N,Comercial (free tier),SaaS,S,S,S,S,S,P,Ativo,2022,https://www.aikido.dev/scanners/surface-monitoring-dast,Suite dev-first; DAST + SAST + SCA + CSPM
Ox Security,Ox Security,ASPM com DAST orquestrado,Startup,N,Comercial,SaaS,S,S,S,S,S,P,Ativo,2021,https://www.ox.security/,Orquestra scanners OSS e comerciais
Xygeni,Xygeni,ASPM/supply chain + DAST parceiro,Startup,N,Comercial,SaaS,P,P,S,S,S,N,Ativo,2023,https://xygeni.io/,Foco em supply chain; conteudo comparativo de DAST
Jit.io,Jit,Orquestrador DevSecOps (ZAP/Nuclei),Startup,N,Comercial (free tier),SaaS,S,P,S,S,S,N,Ativo,2021,https://www.jit.io/,Executa ZAP e outros scanners OSS como plano de seguranca
Cycode ASPM (DAST integrado),Cycode,ASPM,Enterprise,N,Comercial,SaaS,P,P,S,S,S,N,Ativo,2019,https://cycode.com/,Agrega resultados DAST de terceiros
Nucleus Security,Nucleus,Agregacao/orquestracao VM,Enterprise,N,Comercial,SaaS,P,P,S,S,S,N,Ativo,2018,https://nucleussec.com/,Ingere resultados de DAST de multiplos scanners
Data Theorem Web Secure / API Secure,Data Theorem,DAST web/API/mobile,Enterprise,N,Comercial,SaaS,S,S,S,S,S,S,Ativo,2013,https://www.datatheorem.com/,Analise dinamica continua incl. serverless e mobile backend
StackHawk,StackHawk,DAST dev-first (baseado em ZAP),Startup,P,Comercial (free tier),SaaS+CLI,S,S,S,S,S,S,Ativo,2019,https://www.stackhawk.com/,Motor ZAP encapsulado; excelente DX e CI/CD; API/GraphQL/gRPC/SOAP
Bright Security (ex-NeuraLegion Nexploit),Bright Security,DAST/API dev-first,Startup,P,Comercial (free tier),SaaS+CLI,S,S,S,S,S,S,Ativo,2018,https://brightsec.com/,bright-cli OSS; foco em zero falso-positivo e business logic
Probely,Probely (Portugal),DAST SaaS API-first,Startup,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2016,https://probely.com/,"API-first, forte em SPA e compliance"
Beagle Security,Beagle Security (India),DAST + AI,Startup,N,Comercial (free tier),SaaS,S,S,P,S,S,S,Ativo,2018,https://beaglesecurity.com/,"Pentest automatizado, integracoes CI/CD amplas"
Astra Security (Pentest Suite),Astra Security (India),DAST + PTaaS,Startup,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2018,https://www.getastra.com/,Scanner continuo + pentest humano + WAF
Intruder,Intruder Ltd (UK),VA/EASM + web scanning,Startup,N,Comercial,SaaS,S,P,P,S,S,P,Ativo,2015,https://www.intruder.io/,Usa engines Tenable/OpenVAS + checks proprios
Pentest-Tools.com,Pentest-Tools.com (Romenia),Scanners hospedados,Startup,N,Comercial (free tier),SaaS,S,P,N,S,S,P,Ativo,2013,https://pentest-tools.com/,"30+ ferramentas hospedadas, incl. Website Scanner proprio"
Cyber Chief,Audacix (Australia),DAST dev-first,Startup,N,Comercial,SaaS,S,S,P,S,S,P,Ativo,2019,https://audacix.com/,Voltado a SaaS builders
Autonoma AI,Autonoma,DAST agentico,Startup,N,Comercial,SaaS,S,S,P,S,S,S,Novo/Beta,2024,https://getautonoma.com/,Agentes LLM navegando a aplicacao
Stingrai,Stingrai,Pentest continuo com IA,Startup,N,Comercial,SaaS,S,S,P,S,S,P,Novo/Beta,2024,https://www.stingrai.io/,Mercado emergente de AI pentest
Ethiack,Ethiack (Portugal),Hacking autonomo + humano,Startup,N,Comercial,SaaS,S,S,P,S,S,P,Ativo,2021,https://www.ethiack.com/,Combina agentes autonomos e hackers eticos
Sucuri SiteCheck,GoDaddy/Sucuri,Scan remoto de malware/web,Comercial,N,Freemium,SaaS,S,N,N,N,N,N,Ativo,2010,https://sitecheck.sucuri.net/,"Scan remoto de blacklist/malware, nao e DAST completo"
Quttera,Quttera,Scan de malware web,Comercial,N,Freemium,SaaS,S,N,N,P,N,N,Ativo,2011,https://quttera.com/,Deteccao de malware em sites
Mozilla HTTP Observatory,Mozilla / MDN,Scan de configuracao HTTP/TLS,OSS,S,MPL-2.0,SaaS+OSS,S,N,N,S,S,N,Ativo,2016,https://developer.mozilla.org/en-US/observatory,"Headers, CSP, TLS; util como gate leve em CI"
SSL Labs / testssl.sh,Qualys / Dirk Wetter,Teste dinamico de TLS,OSS/Comercial,P,GPL-2.0 (testssl.sh),SaaS/CLI,S,S,S,S,S,N,Ativo,2009 / 2014,https://testssl.sh/,testssl.sh e o padrao OSS para avaliacao TLS/mTLS dinamica
XBOW,XBOW,Pentest ofensivo autonomo (IA),Startup (unicornio),N,Comercial,SaaS,S,S,P,P,S,S,Ativo,2023,https://xbow.com/,Topo do HackerOne US leaderboard em 2025; parceria Vanta
Horizon3.ai NodeZero,Horizon3.ai,Pentest autonomo,Startup,N,Comercial,SaaS+agente,S,P,S,S,S,P,Ativo,2019,https://horizon3.ai/,Foco em rede/AD + web; NodeZero Kubernetes Pentest
Pentera,Pentera,Validacao de seguranca automatizada,Enterprise,N,Comercial,On-prem/SaaS,S,P,S,S,S,P,Ativo,2015 (ex-Pcysys),https://pentera.io/,Automated Security Validation; modulo web/surface
Terra Security,Terra Security,Pentest web agentico,Startup,N,Comercial,SaaS,S,S,P,P,S,S,Ativo,2023,https://www.terra.security/,Agentes contextuais por aplicacao
RunSybil,RunSybil,Pentest autonomo,Startup,N,Comercial,SaaS,S,S,N,P,P,P,Novo,2024,https://runsybil.com/,"Seed-stage, ex-OpenAI/pentesters"
Mindfort,Mindfort,AI pentest agentico,Startup,N,Comercial,SaaS,S,S,N,S,S,P,Novo,2024,https://mindfort.ai/,Agentes que exploram e validam
Hadrian,Hadrian (Holanda),EASM + validacao ofensiva,Startup,N,Comercial,SaaS,S,P,P,P,S,N,Ativo,2021,https://hadrian.io/,Descoberta continua + testes ativos
CyCognito,CyCognito,EASM com testes ativos,Enterprise,N,Comercial,SaaS,S,P,P,P,S,N,Ativo,2017,https://www.cycognito.com/,Descobre e testa ativos externos desconhecidos
Bishop Fox Cosmos,Bishop Fox,EASM + pentest continuo,Enterprise,N,Comercial,SaaS+Servico,S,P,P,N,P,P,Ativo,2020,https://bishopfox.com/platform,Ex-CAST; validacao humana
IBM Randori Recon,IBM,EASM com testes,Enterprise,N,Comercial,SaaS,S,P,P,P,S,N,Ativo,2018,https://www.ibm.com/products/randori-recon,Attack surface + target temptation
Cobalt PTaaS,Cobalt.io,Pentest como servico,Enterprise,N,Comercial,SaaS+Servico,S,S,P,S,S,S,Ativo,2013,https://www.cobalt.io/,Pentest humano sob demanda com plataforma
HackerOne (Pentest/Hai),HackerOne,PTaaS + bug bounty,Enterprise,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2012,https://www.hackerone.com/,Hai (IA) + comunidade; integra achados em CI
Bugcrowd Pen Test as a Service,Bugcrowd,PTaaS + bug bounty,Enterprise,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2012,https://www.bugcrowd.com/,Crowdsourced
Synack,Synack,PTaaS + rede de pesquisadores,Enterprise,N,Comercial,SaaS,S,S,P,P,S,S,Ativo,2013,https://www.synack.com/,SmartScan + Red Team
BreachLock,BreachLock,PTaaS + DAST,Enterprise,N,Comercial,SaaS,S,S,P,S,S,S,Ativo,2018,https://www.breachlock.com/,Human-delivered + automacao
Sprocket Security,Sprocket,Pentest continuo,Startup,N,Comercial,SaaS,S,P,P,P,S,P,Ativo,2017,https://www.sprocketsecurity.com/,Continuous pentesting
Equixly,Equixly (Italia),API pentest continuo,Startup,N,Comercial,SaaS,N,S,P,S,S,S,Ativo,2022,https://equixly.com/,"Foco exclusivo em APIs, ML-driven"
Picus Security,Picus,BAS,Enterprise,N,Comercial,SaaS+agente,P,P,S,S,S,N,Ativo,2013,https://www.picussecurity.com/,Breach & attack simulation (nao substitui DAST)
Cymulate,Cymulate,BAS + exposure validation,Enterprise,N,Comercial,SaaS,P,P,S,S,S,N,Ativo,2016,https://cymulate.com/,Inclui web gateway/WAF assessment
SafeBreach,SafeBreach,BAS,Enterprise,N,Comercial,SaaS+agente,P,N,S,S,S,N,Ativo,2014,https://www.safebreach.com/,Simulacao de ataques ponta a ponta
AttackIQ,AttackIQ,BAS,Enterprise,N,Comercial,SaaS,P,N,S,S,S,N,Ativo,2013,https://www.attackiq.com/,MITRE ATT&CK-driven
ZAP (Zed Attack Proxy),ZAP Dev Team / Checkmarx,DAST completo,OSS,S,Apache-2.0,Self-hosted/Docker/CLI,S,S,S,S,S,S,Ativo,2010,https://www.zaproxy.org/,"~15.5k stars; add-ons, Automation Framework, GitHub Actions oficiais, API REST"
ZAP Extensions (add-ons),ZAP Dev Team,Add-ons DAST,OSS,S,Apache-2.0,Add-on,S,S,P,S,S,S,Ativo,2012,https://github.com/zaproxy/zap-extensions,"~936 stars; SOAP, GraphQL, OpenAPI, WebSockets, Ajax Spider, DOM XSS, Retire.js"
ZAP Community Scripts,ZAP Dev Team,Scripts de scan,OSS,S,Apache-2.0,Script,S,S,N,S,S,P,Ativo,2013,https://github.com/zaproxy/community-scripts,~887 stars; scripts de scan ativo/passivo e autenticacao
Nuclei,ProjectDiscovery,Scanner por templates,OSS,S,MIT,CLI/Docker/K8s,S,S,S,S,S,P,Ativo,2020,https://github.com/projectdiscovery/nuclei,~30k stars; 10k+ templates; DAST mode com fuzzing de parametros
Nuclei Templates,ProjectDiscovery + comunidade,Base de assinaturas,OSS,S,MIT,Repo,S,S,S,S,S,N,Ativo,2020,https://github.com/projectdiscovery/nuclei-templates,Inclui templates DAST/fuzzing (dast/ directory)
Nikto2,CIRT.net (Sullo),Scanner de servidor web,OSS,S,GPL-2.0,CLI,S,N,N,S,S,P,Ativo,2001,https://github.com/sullo/nikto,"6700+ checks; ruidoso, util como baseline"
Wapiti,Nicolas Surribas / comunidade,DAST black-box,OSS,S,GPL-2.0,CLI,S,P,N,S,S,P,Ativo,2006,https://wapiti-scanner.github.io/,Python; modulos por vulnerabilidade; suporta OpenAPI
w3af,Andres Riancho,Framework DAST,OSS,S,GPL-2.0,CLI/GUI,S,P,N,S,P,P,Abandonado,2006,http://w3af.org/,Sem desenvolvimento ativo ha anos; valor historico/didatico
Arachni,Ecsypno / Tasos Laskos,Framework DAST,OSS,S,Arachni Public Source License,CLI/WebUI,S,P,N,S,P,S,Descontinuado,2010,https://www.arachni-scanner.com/,Mantenedor anunciou fim da manutencao; ainda referenciado em benchmarks
Vega,Subgraph,DAST GUI,OSS,S,EPL,Desktop,S,N,N,N,N,P,Abandonado,2012,https://subgraph.com/vega/,Sem releases recentes
Skipfish,Google (Michal Zalewski),Scanner ativo,OSS,S,Apache-2.0,CLI,S,N,N,S,P,P,Arquivado,2010,https://code.google.com/archive/p/skipfish/,Arquivado no Google Code; ainda empacotado em distros
Grabber,Romain Gaucher,Scanner didatico,OSS,S,OSS,CLI,S,N,N,S,N,N,Abandonado,2006,https://github.com/neuroo/grabber,Projeto pequeno/academico
GoLismero,GoLismero Team,Framework de scan,OSS,S,GPL-2.0,CLI,S,N,N,S,N,N,Abandonado,2011,https://github.com/golismero/golismero,Orquestrava outras ferramentas
Grendel-Scan,David Byrne,DAST Java,OSS,S,GPL,Desktop,S,N,N,N,N,P,Abandonado,2008,https://sourceforge.net/projects/grendel/,Historico
IronWASP,Lavakumar Kuppan,Framework DAST,OSS,S,OSS,Desktop,S,N,N,N,N,P,Abandonado,2012,https://ironwasp.org/,Extensivel em Python/Ruby
OWASP WebScarab,OWASP,Proxy/scanner,OSS,S,GPL,Desktop,S,N,N,N,N,P,Abandonado,2004,https://owasp.org/www-project-webscarab/,Predecessor conceitual do ZAP
Paros Proxy,Chinotec,Proxy/scanner,OSS,S,Clarified Artistic,Desktop,S,N,N,N,N,P,Abandonado,2004,https://sourceforge.net/projects/paros/,Base historica do ZAP
Sitadel (ex-WAScan),shenril,Scanner web,OSS,S,GPL-3.0,CLI,S,N,N,S,P,N,Manutencao,2016,https://github.com/shenril/Sitadel,Fork moderno do WAScan
WAScan,m4ll0k,Scanner web,OSS,S,GPL-3.0,CLI,S,N,N,S,N,N,Abandonado,2018,https://github.com/m4ll0k/WAScan,Base do Sitadel
Taipan,enkomio,Scanner web (F#/.NET),OSS,S,OSS,CLI,S,N,N,S,P,P,Manutencao,2017,https://github.com/enkomio/Taipan,Crawler + fingerprint + fuzzer
Striker,s0md3v,Recon + scan ofensivo,OSS,S,GPL-3.0,CLI,S,N,N,S,N,N,Manutencao,2017,https://github.com/s0md3v/Striker,Recon agressivo
Spaghetti,m4ll0k,Scanner web,OSS,S,GPL-3.0,CLI,S,N,N,S,N,N,Manutencao,2017,https://github.com/m4ll0k/Spaghetti,Fingerprint + fuzzing
RapidScan,skavngr,Meta-scanner,OSS,S,GPL-3.0,CLI,S,P,N,S,P,N,Manutencao,2018,https://github.com/skavngr/rapidscan,~2.1k stars; orquestra 80+ ferramentas
OSTE-Meta-Scan,OSTEsayed,Meta-scanner DAST,OSS,S,OSS,CLI/GUI,S,P,N,S,P,N,Ativo,2023,https://github.com/OSTEsayed/OSTE-Meta-Scan,"~304 stars; combina Nikto, ZAP, Nuclei, Skipfish, Wapiti"
OWASP Nettacker,OWASP,Framework de recon/scan,OSS,S,Apache-2.0,CLI/Docker/Web,S,P,P,S,S,N,Ativo,2018,https://github.com/OWASP/Nettacker,"~5.2k stars; modular, multi-protocolo"
OWASP ASST,OWASP (Ismail Tasdelen et al.),Scanner web (PHP/MySQL),OSS,S,OSS,CLI/Node,S,N,N,S,P,N,Manutencao,2020,https://github.com/OWASP/ASST,~187 stars; foco didatico
OWASP purpleteam,OWASP,DAST orientado a CI (SaaS-like),OSS,S,Apache-2.0,Self-hosted/K8s,S,S,S,S,S,P,Manutencao,2019,https://owasp.org/www-project-purpleteam/,Orquestra ZAP em pipeline; arquitetura cloud-native
OWASP OFFAT,OWASP (Dhrumil Mistry),OFFensive Api Tester,OSS,S,MIT,CLI/Docker,N,S,P,S,S,P,Ativo,2023,https://github.com/OWASP/OFFAT,Testa OpenAPI/Swagger automaticamente
OWASP Noir,OWASP (hahwul),Descoberta de endpoints (attack surface),OSS,S,MIT,CLI,S,S,P,S,S,N,Ativo,2023,https://github.com/owasp-noir/noir,~1.3k stars; alimenta ZAP/Nuclei com endpoints do codigo
OWASP JoomScan,OWASP,Scanner Joomla,OSS,S,GPL-3.0,CLI,S,N,N,S,P,N,Manutencao,2014,https://github.com/OWASP/joomscan,CMS-especifico
OWASP Amass,OWASP,Descoberta de superficie,OSS,S,Apache-2.0,CLI,P,P,P,S,S,N,Ativo,2018,https://github.com/owasp-amass/amass,Recon (pre-DAST)
Hetty,Sander Rademaker (dstotijn),Proxy HTTP para pesquisa,OSS,S,MIT,Self-hosted,S,P,N,S,N,P,Manutencao,2020,https://hetty.xyz/,Alternativa OSS ao Burp
Caido,Caido,Proxy/scanner moderno,Comercial,N,Freemium,Desktop/Server,S,S,N,S,P,S,Ativo,2022,https://caido.io/,Concorrente moderno do Burp; plugins e workflows
mitmproxy,mitmproxy team,Proxy programavel,OSS,S,MIT,CLI/Docker,S,S,S,S,S,P,Ativo,2010,https://mitmproxy.org/,Base para automacao de testes dinamicos
Reaper,Ghost Security,Plataforma de teste web,OSS,S,OSS,Desktop/Docker,S,S,N,S,P,P,Ativo,2024,https://ghostsecurity.github.io/reaper/,Proxy + testes automatizados
Pakiki (Pākiki),Forensant,Proxy/scanner,OSS,S,AGPL/Comercial,Desktop,S,P,N,S,N,P,Ativo,2022,https://github.com/forensant/pakiki-core,Alternativa leve ao Burp
ProKZee,al-sultani,Proxy/intercepcao,OSS,S,OSS,Desktop,S,P,N,P,N,P,Novo,2024,https://github.com/al-sultani/prokzee,Projeto emergente
BrowserBruter,NetSquare (Bhargav Rathod),Fuzzing via browser,OSS,S,OSS,CLI,S,N,N,S,N,S,Ativo,2023,https://github.com/netsquare/BrowserBruter,Fuzzing de aplicacoes JS-heavy dentro do navegador
Tulpar,tulpar,Scanner web,OSS,S,GPL,CLI,S,N,N,S,N,N,Abandonado,2016,https://github.com/tulpar/tulpar,Historico
Ugly Duckling,Detectify,Scanner modular,OSS,S,Apache-2.0,CLI,S,N,N,S,P,N,Manutencao,2019,https://github.com/detectify/ugly-duckling,Motor Rust simplificado da Detectify
Jawfish,war-and-code,Scanner web,OSS,S,OSS,CLI,S,N,N,S,N,N,Abandonado,2016,https://github.com/war-and-code/jawfish,Historico
Browserker,GitLab (wirepair),Crawler/DAST browser-based,OSS,P,Proprietary/GitLab,CLI,S,P,N,S,S,S,Manutencao,2020,https://gitlab.com/wirepair/browserker/,Base do browser-based DAST do GitLab
